category,title,slug,status,description,location,county,region,nearest_town,distance_from_nairobi_km,travel_time_from_nairobi,best_time_to_visit,family_friendly,image,gallery,highlights,map_query,budget_transport,budget_accommodation,budget_entry_fee,budget_guide_fee,budget_food,budget_activity,directions,public_transport,road_conditions,safety_and_conditions,what_to_carry,travel_tips,difficulty,trail_length,elevation_gain,hiking_duration,fitness_level,packing_list,trail_information,waterfall_height,swimming_allowed,best_season,nearby_attractions,facilities,security_rating,tent_rental,fire_pit,washrooms,showers,parking,electricity,wildlife_highlights,animals_seen,game_drives,safari_tips,viewing_season,why_special,why_hidden,unique_experiences,photo_spots,beach_activities,swimming,snorkeling,diving,nearby_restaurants,nearby_hotels,accommodation_type,amenities,wifi,pool,restaurant,bonfire,pet_friendly,ideal_for,event_date,event_time,venue,ticket_price,ticket_link,organizer,event_description,featured_on_home,featured_sort_order,trending_on_home,trending_tag,trending_sort_order
waterfalls,Thomson's Falls,thomsons-falls,published,74-metre cascade on the Ewaso Narok River — a classic budget stop in Nyahururu with viewpoint walks and local snacks.,"Nyahururu, Laikipia County",Laikipia,Rift Valley,Nyahururu,190,3 hours,After rains Apr–Jun,Yes,https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=75","74 m drop
Viewpoint walk
Nyahururu stopover
Low entry cost",Thomson Falls Nyahururu Kenya,900,2000,200,0,500,0,"Bus/matatu to Nyahururu town, short boda or walk to falls gate.",Bus Nairobi–Nyahururu KES 500–700. Local boda KES 100.,Tarmac to town; paved path to viewpoint.,Slippery rocks near spray zone — stay behind rails.,"Rain jacket, camera, cash for entry.",Visit early morning for photos without crowds.,,,,,,,,74 m,No,Apr–Jun after rains,"Nyahururu town, Hippo Pool viewpoint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,false,,0
waterfalls,Karura Waterfall,karura-waterfall,published,Short forest trail to a waterfall inside Karura — cheapest waterfall fix minutes from Nairobi.,"Karen, Nairobi County",Nairobi,Nairobi,Nairobi,12,45 min,Year-round,Yes,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Urban waterfall
Forest shade
Low entry fee
Family friendly",Karura Forest waterfall Nairobi Kenya,200,0,300,0,400,0,Enter via Sigiria or Limuru Road gate; follow signs to waterfall loop.,Matatu KES 50–100 to forest gates.,Well-maintained forest paths.,Muddy near falls after rain; supervise children on steps.,"Trainers, light rain jacket.",Combine with caves loop on same ticket.,,,,,,,,12 m,No,Year-round,"Mau Mau caves, bamboo zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
waterfalls,Zaina Falls,zaina-falls,published,Multi-tier cascade in the Aberdare foothills reached by a moderate forest hike from Nyeri side.,"Aberdares, Nyeri County",Nyeri,Central,Nyeri,150,3 hours,Wet season for flow,Yes,https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=75","Forest hike
Tiered falls
Cool climate
Guide recommended",Zaina Falls Aberdare Kenya,1100,2500,300,1000,600,0,"Bus to Nyeri, arrange taxi to trailhead near Aberdare forest edge.","Bus KES 400–600; taxi KES 1,200 shared.",Murram forest roads; trail muddy in rains.,Slippery rocks; use guide in wet season.,"Rain gear, grippy shoes, insect repellent.",Go after rains for best flow.,,,,,,,,30 m,Seasonal pools,Apr–Jun,"Nyeri town, tea farms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
waterfalls,Karuru Falls,karuru-falls,published,"Three-step waterfall deep in the Aberdares — one of Kenya's tallest falls, accessed on a budget day trip with KWS guide.","Aberdare National Park, Nyeri County",Nyeri,Central,Nyeri,150,3.5 hours,Rainy season for volume,No,https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=75","Three-tier falls
Aberdare forest
KWS guide required
Scenic drive",Karuru Falls Aberdare National Park Kenya,1200,3500,350,2000,800,0,Enter via Nyeri or Naivasha park gates; 4x4 or KWS vehicle to falls viewpoint trail.,"Bus to Nyeri; park transport shared KES 2,000+.",Rough murram inside park — 4x4 recommended.,"Cold, misty conditions; stay on marked viewpoint.","Warm layer, rain jacket, camera.",Book KWS guide at gate; no self-drive to falls viewpoint.,,,,,,,,273 m total,No,Apr–Jun,"Aberdare salient, Treetops area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
waterfalls,Fourteen Falls,fourteen-falls,published,Wide cascade on the Athi River near Thika — easy access and boat views on a budget day trip from Nairobi.,"Thika, Kiambu County",Kiambu,Central,Thika,65,1.5 hours,Year-round; best flow after rains,Yes,https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=75","Wide river falls
Boat option
Picnic spot
Close to Nairobi",Fourteen Falls Thika Kenya,500,0,200,500,500,800,"Matatu to Thika, then boda/taxi to falls and boat landing.",Matatu KES 100–200; boda KES 200–300.,Murram last kilometre.,Strong currents — avoid swimming. Boat operators vary in safety — wear life jacket.,"Picnic mat, water, sun hat.",Negotiate boat price before boarding; KES 500–800 pp typical.,,,,,,,,27 m,No,Apr–Jun,"Thika town, Ol Donyo Sabuk nearby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
waterfalls,Chania Falls,chania-falls,published,Hidden cascade in the Chania River gorge near Thika — short walk and local guide tips only.,"Thika, Kiambu County",Kiambu,Central,Thika,60,1.5 hours,Rainy season,Yes,https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=75","Gorge waterfall
Short walk
Low cost
Picnic friendly",Chania Falls Thika Kenya,450,0,0,300,500,0,"Matatu to Thika, local boda to Chania river access point.",Matatu KES 100–200; boda KES 150–250.,Informal paths; slippery near river.,Flash flood risk in heavy rain — avoid gorge in storms.,"Grippy sandals, rain jacket.",Tip local guide KES 300–500.,,,,,,,,20 m,Seasonal,May–Jun,"Fourteen Falls, Thika falls circuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
waterfalls,Sheldrick Falls,sheldrick-falls,published,Rainforest waterfall in Shimba Hills — combine with budget coastal hike and elephant spotting.,Kwale County,Kwale,Coast,Kwale,450,8 hours or fly-bus mix,Dry season Jun–Sep,Yes,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Coastal rainforest
Shimba Hills hike
Swim pool below falls
Elephant links",Sheldrick Falls Shimba Hills Kenya,2200,3000,350,1000,800,0,"Bus/matatu Mombasa–Kwale–Shimba gate, or SGR to Mombasa then bus south.","SGR Mombasa KES 1,000+; bus to gate KES 300–500.",Murram in park; 2 km forest trail to falls.,Elephants in park — keep distance. Leeches in wet season.,"Repellent, swimwear, hiking shoes.",Budget night in Kwale town before early park entry.,,,,,,,,21 m,Yes — pool,Jun–Sep,"Shimba Hills viewpoints, sable antelope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,true,Coast,3
waterfalls,Ragia Forest Cascade,ragia-cascade,published,Bamboo-lined waterfall in the Aberdare forest belt — quiet alternative to crowded Nairobi day trips.,"Lari, Kiambu County",Kiambu,Central,Lari,55,1.5 hours,Wet season,Yes,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Bamboo forest
Low crowds
Community forest
Short hike",Ragia Forest Waterfall Kenya,400,0,200,500,400,0,"Matatu towards Lari/Kijabe, connect boda to Ragia forest station.",Matatu KES 100–150; boda KES 200.,Forest trail; mud after rain.,Go with forest guide; remote phone signal.,"Rain boots, jacket, repellent.",Weekday visits quietest.,,,,,,,,15 m,No,Apr–Jun,"Kijabe forest, Lari town",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
waterfalls,Magura Falls,magura-falls,published,Forest waterfall in western Kenya near Keroka — offbeat stop on a Kisii–Narok budget route.,Nyamira County,Nyamira,Nyanza,Keroka,280,5 hours,Rainy season,Yes,https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=75","Western Kenya gem
Forest walk
Low tourist traffic
Community access",Magura Falls Nyamira Kenya,1400,2000,100,500,600,0,"Bus to Keroka, boda to Magura forest trail.","Bus via Kisii KES 1,000–1,400.",Murram and footpaths.,Slippery trail; travel daylight.,"Rain gear, cash for guide tip.",Ask at Keroka market for latest trail conditions.,,,,,,,,25 m,Seasonal,May–Jul,"Keroka town, Kisii highlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
waterfalls,Gura Falls Viewpoint,gura-falls,published,Dramatic Aberdare gorge falls — viewpoint access on a ranger-led budget walk from the Nyeri side.,"Aberdares, Nyeri County",Nyeri,Central,Nyeri,155,3 hours,Wet season,No,https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1432405972613-c60ab874ab1d?auto=format&fit=crop&w=1200&q=75","Deep gorge views
Aberdare ecosystem
Ranger walks
Cool climate",Gura Falls Aberdare Kenya,1150,3000,350,1500,700,0,Similar access to Aberdare park gates; ranger escort to gorge viewpoint.,Bus to Nyeri; park fees and guide at gate.,Park roads variable; walking trail moderate.,Steep gorge — stay behind barriers.,"Warm layer, waterproof, binoculars.",Pair with Zaina or Karuru same trip if multi-day.,,,,,,,,300 m gorge drop,No,Apr–Jun,"Karuru Falls, Aberdare salient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
