category,title,slug,status,description,location,county,region,nearest_town,distance_from_nairobi_km,travel_time_from_nairobi,best_time_to_visit,family_friendly,image,gallery,highlights,map_query,budget_transport,budget_accommodation,budget_entry_fee,budget_guide_fee,budget_food,budget_activity,directions,public_transport,road_conditions,safety_and_conditions,what_to_carry,travel_tips,difficulty,trail_length,elevation_gain,hiking_duration,fitness_level,packing_list,trail_information,waterfall_height,swimming_allowed,best_season,nearby_attractions,facilities,security_rating,tent_rental,fire_pit,washrooms,showers,parking,electricity,wildlife_highlights,animals_seen,game_drives,safari_tips,viewing_season,why_special,why_hidden,unique_experiences,photo_spots,beach_activities,swimming,snorkeling,diving,nearby_restaurants,nearby_hotels,accommodation_type,amenities,wifi,pool,restaurant,bonfire,pet_friendly,ideal_for,event_date,event_time,venue,ticket_price,ticket_link,organizer,event_description,featured_on_home,featured_sort_order,trending_on_home,trending_tag,trending_sort_order
coast,Diani Beach,diani,published,"White sand, reef, and tuk-tuk hops — Kenya's backpacker coast base with hostels and street food.",Kwale County,Kwale,Coast,Diani,480,SGR 5 hours + tuk-tuk,Jun–Sep dry; Jan–Feb hot,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","White sand beach
Tuk-tuk hops
Hostel culture
Reef access",Diani Beach Kenya,1800,2500,0,0,800,1500,"SGR Nairobi–Mombasa, matatu to Likoni ferry, matatu/tuk-tuk to Diani.","SGR KES 1,000–1,500; ferry free foot; tuk-tuk KES 200–400.",Tarmac to beach strip.,Strong currents some zones — ask locals. Ferry queues peak weekends.,"Sunscreen, reef shoes, cash for tuk-tuks.","Hostels KES 1,500–2,500 dorm; street chapati and mishkaki cheap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swim, kite surf, beach football",Seasonal — check flags,"Hire gear at beach KES 1,000+",Shops on beach road,"Beach road cafes, Swahili plates",Hostels to guesthouses along beach road,,,,,,,,,,,,,,,,true,1,true,Coast,1
coast,Kilifi Creek,kilifi,published,"Laid-back creek town with dhows, swimming holes, and cheaper beds than Diani.",Kilifi County,Kilifi,Coast,Kilifi,440,Bus 8 hours,Year-round,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","Creek dhows
Swimming holes
Budget camps
Night market",Kilifi Creek Kenya,1600,2000,0,0,700,1000,"Bus Nairobi–Mombasa drop Kilifi, tuk-tuk to creek.","Bus KES 1,200–1,800; tuk-tuk KES 100–200.",Tarmac highway.,Tides affect creek swims — ask at bridge.,"Swimwear, insect repellent.",Mnarani ruins short tuk-tuk away.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kayak, dhow, creek swim",Tidal pools at bridge,Limited in creek,Day trips to reef,Bridge restaurant row,Creek camps and guesthouses,,,,,,,,,,,,,,,,false,0,false,,0
coast,Watamu Beach,watamu,published,Marine park snorkel trips and relaxed village beach — negotiate boats at the jetty.,Kilifi County,Kilifi,Coast,Watamu,420,Bus 8 hours,Oct–Mar calm seas,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","Snorkel trips
Marine park
Village beach
Turtle bay nearby",Watamu Beach Kenya,1800,3000,0,0,800,2500,"Bus to Malindi, matatu/tuk-tuk to Watamu jetty.","Bus KES 1,200+; local KES 200–400.",Murram village roads.,Boat safety varies — wear life jacket. Reef protection rules apply.,"Reef-safe sunscreen, dry bag.","Jetty snorkel KES 2,000–3,500 pp haggled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Snorkel, dhow, glass boat",Calm lagoon areas,Yes — hire at jetty,Several dive shops,"Jetty cafes, crab shacks",Watamu village guesthouses,,,,,,,,,,,,,,,,false,0,false,,0
coast,Lamu Shela Beach,lamu-shela,published,Long empty beach across from Lamu Old Town — dhow crossing and barefoot walks.,Lamu County,Lamu,Coast,Lamu,500,Bus + boat,Jun–Mar,Yes,https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=75","Shela dunes
Dhow crossing
Empty beach
Old town combo",Shela Beach Lamu Kenya,3500,3500,0,0,1000,1500,Dhow from Lamu town to Shela — KES 200–500 pp.,Boat only; no cars on island.,Sand footpaths.,Tides for dhow; respect local privacy on beach.,"Dry bag, modest swimwear away from village.",Sunset dhow return negotiable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swim, dhow, dune walk",Calm channel side,Limited,Not main draw,"Shela cafes, old town dinners",Shela guesthouses,,,,,,,,,,,,,,,,false,0,false,,0
coast,Tiwi Beach,tiwi,published,Quieter neighbour to Diani with reef and low-key guesthouses — budget escape from the strip.,Kwale County,Kwale,Coast,Tiwi,470,SGR + matatu,Jun–Sep,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","Quiet reef beach
Rock pools
Low-key stays
Local vibe",Tiwi Beach Kenya,1700,2200,0,0,700,1000,"SGR to Mombasa, matatu south coast via ferry to Tiwi junction.","SGR + matatu KES 1,700 approx.",Murram coastal road.,Rocks at low tide — reef shoes.,"Snorkel gear, cash (few ATMs).",Buy fish from beach landing mornings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Snorkel, rock pool explore",Low tide pools,DIY at reef,Trips from Diani,Beach kiosks,Small guesthouses on hill,,,,,,,,,,,,,,,,false,0,false,,0
coast,Nyali Beach,nyali,published,Mombasa city beach with public access and cheap food — good first coast stop off the SGR.,Mombasa County,Mombasa,Coast,Mombasa,480,SGR 5 hours,Year-round,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","City beach
Public access
Night food
SGR gateway",Nyali Beach Mombasa Kenya,1500,2500,0,0,600,500,"SGR to Mombasa, matatu/tuk-tuk to Nyali bridge area.","SGR KES 1,000–1,500; tuk-tuk KES 200.",Paved coast road.,Watch belongings on busy beach; swim in groups.,"Sunscreen, light cover-up.",Pirates Beach public section popular with locals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swim, football, street food",Check local advice,Not primary,Trips from Nyali shops,"Nyali Food Court, beach grills",Budget hotels inland,,,,,,,,,,,,,,,,false,0,false,,0
coast,Malindi Beach,malindi,published,Italian-influenced beach town with public sands and cheap seafood — jump-off for Watamu and Gede.,Kilifi County,Kilifi,Coast,Malindi,410,Bus 8 hours,Year-round,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","Public beach
Seafood markets
Nightlife
Budget hotels",Malindi Beach Kenya,1600,2500,0,0,800,800,Bus Nairobi–Malindi direct or via Mombasa.,"Bus KES 1,200–1,800.",Tarmac to town.,Beach boys sell tours — negotiate firmly.,"Cash, sun hat.",Sunday fish market best value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swim, dhow, market walks",Main beach swim zones,Boat trips to reef,Available in town,Seafood market grills,Beach road budget hotels,,,,,,,,,,,,,,,,false,0,false,,0
coast,Msambweni Beach,msambweni,published,"Untouristed south coast beach near Shimoni — reef, dolphins, and homestay prices.",Kwale County,Kwale,Coast,Msambweni,490,Bus south coast,Aug–Mar,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","Quiet reef
Dolphin trips
Homestays
Authentic coast",Msambweni Beach Kenya,1900,2000,0,0,700,2000,Matatu Mombasa–Lungalunga via Msambweni.,Bus/matatu KES 500–800 from Mombasa.,Murram coastal road.,Boat dolphin trips — life jackets.,"Reef shoes, cash.",Fewer touts than Diani — ask homestay for boat price.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swim, dolphin boat, reef walk",Reef protected lagoon,Boat to reef,Limited locally,Village fish cafes,Homestays and simple lodges,,,,,,,,,,,,,,,,false,0,false,,0
coast,Shanzu Beach,shanzu,published,North of Mombasa island with reef and budget hotels — easy tuk-tuk from SGR terminus.,Mombasa County,Mombasa,Coast,Shanzu,475,SGR 5 hours,Year-round,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","Reef snorkel
Budget hotels
Near Mombasa
Beach bars",Shanzu Beach Kenya,1550,2200,0,0,700,1500,"SGR Mombasa, matatu north coast road to Shanzu.","SGR + matatu KES 1,500 approx.",Coast highway paved.,Strong currents off reef — go with boat guides.,Snorkel gear or rent on beach.,Cheaper beds than Nyali waterfront.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Snorkel, jetty jumps, bars",Protected lagoon patches,Boat hire on beach,Basic shops,Beach bar grills,Shanzu budget hotels,,,,,,,,,,,,,,,,false,0,false,,0
coast,Funzi Island,funzi-island,published,Mangrove channels and sandbank picnics — day dhow from the south coast on a budget.,Kwale County,Kwale,Coast,Ramisi,500,Bus + boat,Calm sea months,Yes,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","Mangrove channels
Sandbank picnic
Dhow day trip
Birding",Funzi Island Kenya,2000,3500,0,0,1000,3500,"Matatu to Bodo or Ramisi, arrange dhow with local operator.","Matatu + dhow KES 3,500–5,000 day package.",Boat access only.,Life jackets on dhow; tide timing matters.,"Dry bag, sun hat, snacks.",Book via Diani operators or direct for cheaper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dhow, sandbank, mangrove cruise",Sandbank only,Limited,No,Pack lunch or operator meal,Day trip from Diani/Msambweni,,,,,,,,,,,,,,,,false,0,false,,0
