category,title,slug,status,description,location,county,region,nearest_town,distance_from_nairobi_km,travel_time_from_nairobi,best_time_to_visit,family_friendly,image,gallery,highlights,map_query,budget_transport,budget_accommodation,budget_entry_fee,budget_guide_fee,budget_food,budget_activity,directions,public_transport,road_conditions,safety_and_conditions,what_to_carry,travel_tips,difficulty,trail_length,elevation_gain,hiking_duration,fitness_level,packing_list,trail_information,waterfall_height,swimming_allowed,best_season,nearby_attractions,facilities,security_rating,tent_rental,fire_pit,washrooms,showers,parking,electricity,wildlife_highlights,animals_seen,game_drives,safari_tips,viewing_season,why_special,why_hidden,unique_experiences,photo_spots,beach_activities,swimming,snorkeling,diving,nearby_restaurants,nearby_hotels,accommodation_type,amenities,wifi,pool,restaurant,bonfire,pet_friendly,ideal_for,event_date,event_time,venue,ticket_price,ticket_link,organizer,event_description,featured_on_home,featured_sort_order,trending_on_home,trending_tag,trending_sort_order
staycations,Lake Naivasha Budget Lodge,naivasha-staycation,published,Weekend lakeside bandas with hippo lawns and boat hires — Rift escape without resort prices.,"Naivasha, Nakuru County",Nakuru,Rift Valley,Naivasha,90,2.5 hours,Year-round weekends,true,https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1200&q=75","Lake view bandas
Hippo spotting
Boat hire
Weekend deals",Lake Naivasha budget lodge Kenya,800,4500,0,0,1500,2000,"Matatu to Naivasha, lodge pick-up or boda from town.",Matatu KES 350–400 each way.,Good road to Naivasha.,Hippos on lodge lawns at night — keep distance.,"Binoculars, warm layer, cash.",Book weekday for 20% lower rates at many bandas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bandas / budget lodge,"Restaurant, boat jetty, garden",Limited,Some lodges,On-site,On request,Ask lodge,"Couples, families, groups",,,,,,,,false,0,false,,0
staycations,Kijabe Forest Cottages,kijabe-staycation,published,Cool escarpment cottages in pine forest — fireplace vibes an hour from Nairobi.,"Kijabe, Kiambu County",Kiambu,Rift Valley,Kijabe,60,1.5 hours,Year-round,true,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Forest cottages
Cool climate
Hiking trails
Weekend reset",Kijabe forest cottages Kenya,500,5000,0,0,1200,0,Matatu on Nairobi–Naivasha highway drop Kijabe.,Matatu KES 150–250.,Murram to some cottages.,Cold nights — lodge provides blankets but pack warm socks.,"Warm clothes, books, hiking shoes.",Self-catering units save on food costs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cottages,"Fireplace, forest trails",Limited,No,Nearby or self-cater,Yes,Varies,"Couples, remote workers",,,,,,,,false,0,false,,0
staycations,Lukenya Getaway Cottages,lukenya-staycation,published,Granite-view cottages near Lukenya hills — budget groups and climbers welcome.,Machakos County,Machakos,Eastern,Athi River,35,1 hour,Dry season,true,https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1200&q=75","Group cottages
Climbing access
Near Nairobi
BBQ pits",Lukenya getaway cottages Kenya,450,4000,0,0,1000,800,"Matatu Kitengela/Athi River, short boda to cottages.",Matatu KES 100–200.,Murram access.,Secure valuables if climbing.,"Climbing gear optional, BBQ supplies.",Split cottage among 6–8 for best value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cottages,"BBQ, parking, hill views",Yes — variable,No,Self-cater,Yes,Yes — ask,"Friends, climbers",,,,,,,,false,0,false,,0
staycations,Elementaita Homestay,elementaita-staycation,published,Community homestays on the flamingo lake shore — home cooking and stargazing.,"Elementaita, Nakuru County",Nakuru,Rift Valley,Elementaita,120,2.5 hours,Year-round,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Homestay meals
Flamingo lake
Community tourism
Quiet nights",Lake Elementaita homestay Kenya,900,3500,0,500,800,500,"Matatu to Gilgil/Naivasha, boda to homestay.",Matatu KES 350–450.,Murram lakeside.,Wildlife near shore — hosts guide night walks.,"Torch, warm layer, cash tip for cook.",Meals included at many homestays.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Homestay,"Home meals, lake walk",No,No,Host cooking,Sometimes,No,"Solo, couples, culture seekers",,,,,,,,false,0,false,,0
staycations,Nanyuki Farm Stay,nanyuki-staycation,published,Budget farm stays on the Laikipia foothills with Mount Kenya views and campfire nights.,"Nanyuki, Laikipia County",Laikipia,Central,Nanyuki,195,3.5 hours,"Jan–Mar, Jul–Oct",true,https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1523987355523-c7b5e0a90ace?auto=format&fit=crop&w=1200&q=75","Farm stay
Mount Kenya views
Campfire
Market town access",Nanyuki farm stay Kenya,1200,4500,0,0,1200,1000,"Bus/matatu to Nanyuki, farm pick-up from market.",Bus KES 500–700.,Murram farm tracks.,Cool nights on foothills.,"Warm layer, cash for market snacks.",Saturday market for cheap produce.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farm stay / bandas,"Campfire, farm tours",Limited,Some farms,Farm kitchen,Yes,Farm dogs only,"Families, couples",,,,,,,,false,0,false,,0
staycations,Karen Budget B&B,karen-staycation,published,Leafy Karen guesthouses with garden breakfast — city staycation without CBD prices.,"Karen, Nairobi County",Nairobi,Nairobi,Karen,15,30 min,Year-round,true,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Garden B&B
Near Karura
City quiet
Uber access",Karen budget B&B Nairobi Kenya,300,5500,0,0,1000,300,Matatu or ride-hail to Karen Road guesthouses.,Matatu/boda KES 100–300.,Paved Karen roads.,Standard city safety — use registered taxis at night.,Walking shoes for Karura add-on.,Book mid-week for Nairobi staycation deals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B&B,"Breakfast, garden, WiFi",Yes,Some,Breakfast included,No,Rare,"Couples, remote workers",,,,,,,,false,0,false,,0
staycations,Kisumu Lakeside Guesthouse,kisumu-staycation,published,Lake Victoria sunset guesthouses — cheap beds and fish markets in western Kenya.,Kisumu County,Kisumu,Nyanza,Kisumu,350,6 hours,Year-round,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Lake sunset
Fish markets
City walks
Budget rooms",Kisumu lakeside guesthouse Kenya,1400,3500,0,0,800,500,"Bus to Kisumu, tuk-tuk to lakefront guesthouses.","Bus KES 800–1,200.",Paved city roads.,Watch bags at busy market.,"Mosquito net, light jacket.",Hippo Point sunset free.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guesthouse,"Lake view, fan rooms",Limited,No,Nearby fish market,No,No,"Solo, backpackers",,,,,,,,false,0,false,,0
staycations,Ngong Hills Eco-Camp,ngong-staycation,published,Tented eco-camp below Ngong Hills — sunrise ridge walks and city views.,"Ngong, Kajiado County",Kajiado,Rift Valley,Ngong,22,45 min,Dry season,true,https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1200&q=75","Eco tents
Ridge sunrise
City views
Weekend camp",Ngong hills eco camp Kenya,350,4000,200,500,1000,0,"Matatu to Ngong, camp shuttle or boda.",Matatu KES 100–150.,Murram camp road.,Windy ridge — secure tent lines.,"Warm sleeping bag, headlamp.",Sunday checkout deals common.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glamping / tents,"Shared kitchen, fire pit",No,No,Camp kitchen,Yes,No,"Groups, hikers",,,,,,,,false,0,false,,0
staycations,Mount Kenya Bandas Weekend,mount-kenya-bandas-stay,published,KWS bandas on the mountain foothills — cool air and forest walks without summiting.,"Naro Moru, Nyeri County",Nyeri,Central,Naro Moru,150,3 hours,Jan–Mar,true,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1200&q=75","Mountain bandas
Forest walks
Cool climate
Budget KWS",Mount Kenya bandas Naro Moru Kenya,1100,4000,500,1500,1200,0,"Bus to Nyeri/Naro Moru, taxi to gate bandas.",Bus KES 400–600.,Murram to gate.,Cold mountain nights.,"Warm layers, rain jacket.",Book bandas via KWS portal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KWS bandas,"Ranger post, trails",No,No,Self-cater or kiosk,Restricted,No,"Nature lovers, families",,,,,,,,false,0,false,,0
staycations,Tigoni Tea Country Cottage,tigoni-staycation,published,"Self-catering cottage in Tigoni tea country — fog, tea walks, and peri-urban quiet.","Tigoni, Kiambu County",Kiambu,Central,Limuru,35,1 hour,Year-round,true,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Tea country
Self-catering
Cool fog
Peri-urban escape",Tigoni tea cottage Kenya,350,6000,0,500,1000,300,"Matatu to Tigoni/Limuru, short boda to cottage.",Matatu KES 100–200.,Murram farm lanes.,Fog reduces visibility — drive daylight.,Groceries in Limuru town.,Split cottage among 4 for value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-catering cottage,"Kitchen, fireplace, garden",Yes — variable,Some,Self-cater,On request,Ask owner,"Families, remote workers",,,,,,,,false,0,false,,0
