category,title,slug,status,description,location,county,region,nearest_town,distance_from_nairobi_km,travel_time_from_nairobi,best_time_to_visit,family_friendly,image,gallery,highlights,map_query,budget_transport,budget_accommodation,budget_entry_fee,budget_guide_fee,budget_food,budget_activity,directions,public_transport,road_conditions,safety_and_conditions,what_to_carry,travel_tips,difficulty,trail_length,elevation_gain,hiking_duration,fitness_level,packing_list,trail_information,waterfall_height,swimming_allowed,best_season,nearby_attractions,facilities,security_rating,tent_rental,fire_pit,washrooms,showers,parking,electricity,wildlife_highlights,animals_seen,game_drives,safari_tips,viewing_season,why_special,why_hidden,unique_experiences,photo_spots,beach_activities,swimming,snorkeling,diving,nearby_restaurants,nearby_hotels,accommodation_type,amenities,wifi,pool,restaurant,bonfire,pet_friendly,ideal_for,event_date,event_time,venue,ticket_price,ticket_link,organizer,event_description,featured_on_home,featured_sort_order,trending_on_home,trending_tag,trending_sort_order
hidden-gems,Kerio Valley Viewpoints,kerio-valley,published,Dramatic escarpment views and running trails above the Rift — barely on international itineraries.,Elgeyo-Marakwet County,Elgeyo-Marakwet,Rift Valley,Iten,350,5–6 hours,Year-round clear mornings,true,https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=75","Escarpment panoramas
Runner culture
Low costs
Community guides",Kerio Valley Viewpoint Kenya,1500,2000,0,500,600,0,"Bus to Eldoret or Iten, boda to viewpoint ridges.","Bus KES 800–1,200; boda KES 200.",Murram escarpment roads.,Cliff edges unfenced — stay back.,"Camera, wind layer, cash for guide.",Iten guesthouses cheapest base.,,,,,,,,,,,,,,,,,,,,,,,,,One of Africa's great escarpment views,Overshadowed by Naivasha circuit,Sunrise ridge walk with local runners,"World viewpoint pullout, rim trails",,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
hidden-gems,Lamu Old Town,lamu-old-town,published,UNESCO Swahili stone town with no cars — dhow culture and alley cafes on a backpacker budget.,Lamu County,Lamu,Coast,Lamu,500,Bus + boat 10+ hours,Jun–Mar dry season,true,https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=75","UNESCO old town
Dhow harbour
No vehicles
Budget guesthouses",Lamu Old Town Kenya,3500,3500,0,1000,1000,1500,"Bus Nairobi–Mombasa–Lamu road, then dhow to Lamu Island; or fly budget when on sale.","Bus + boat KES 3,000–4,500; airport taxi short.",Sand streets; boat only on island.,Respect Muslim culture — modest dress in town.,"Cash, light clothing, dry bag for boat.","Guesthouses from KES 2,500 — ask for fan rooms.",,,,,,,,,,,,,,,,,,,,,,,,,Living Swahili heritage,Many skip for Diani beaches only,"Sunset dhow sail, alley food tours","Waterfront, fort square",,,,,,,,,,,,,,,,,,,,,,false,0,true,Hidden gems,1
hidden-gems,Kit Mikayi,kit-mikayi,published,Sacred granite rock formation near Kisumu — cultural stories and lake views for pocket change.,Kisumu County,Kisumu,Nyanza,Kisumu,350,6 hours,Year-round,true,https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=75","Sacred rock
Luo heritage
Lake Victoria views
Low entry",Kit Mikayi Kisumu Kenya,1400,2000,200,500,600,0,"Bus to Kisumu, matatu towards Bondo drop Kit Mikayi, short walk.","Bus KES 800–1,200; matatu KES 100.",Murram access.,Rock scrambling sections — wear grippy shoes.,Respect local rituals; tip guide.,Combine with Kisumu sunset at Hippo Point.,,,,,,,,,,,,,,,,,,,,,,,,,Cultural landmark with legend tours,Rarely packaged from Nairobi,Elder storytelling at the rock,Summit viewpoint,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
hidden-gems,Rusinga Island,rusinga-island,published,"Lake Victoria island with fossils, fishing villages, and quiet homestays off the tourist track.",Homa Bay County,Homa Bay,Nyanza,Mbita,360,7 hours,Year-round,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Lake island
Fishing culture
Homestays
Fossil sites",Rusinga Island Kenya,1600,2500,0,800,800,500,"Bus to Homa Bay/Mbita, ferry or boat to Rusinga.","Bus KES 1,200+; boat KES 200–400.",Murram island roads.,Lake weather changes fast — secure boats daylight.,"Cash, mosquito net, sun hat.",Tom Mboya mausoleum worth a stop.,,,,,,,,,,,,,,,,,,,,,,,,,Authentic lake life,Overshadowed by coast beaches,"Village fish fry, island bike loop",Sunset over Victoria,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
hidden-gems,Marafa Depression,marafa-depression,published,Surreal sandstone canyon nicknamed Hell's Kitchen — guided walks near Malindi on a shoestring.,Kilifi County,Kilifi,Coast,Malindi,420,Bus 8 hours,Dry season,true,https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=75","Sandstone canyon
Sunset colours
Local guides
Low entry",Marafa Depression Hell's Kitchen Kenya,2000,3000,300,800,700,0,"Bus Nairobi–Malindi, matatu/tuk-tuk to Marafa village.","Bus KES 1,200–1,800; tuk-tuk KES 500 shared.",Murram village road.,Canyon edges crumble — follow guide only.,"Sun hat, water, closed shoes.",Sunset tour most dramatic light.,,,,,,,,,,,,,,,,,,,,,,,,,Mars-like eroded gullies,Day-trippers rarely leave Malindi beach,Village guide canyon walk,Rim at golden hour,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
hidden-gems,Lake Paradise Marsabit,marsabit-paradise,published,Forest-ringed crater lake in remote northern Marsabit — adventure for patient budget overlanders.,Marsabit County,Marsabit,Northern,Marsabit,550,10+ hours,Jun–Sep dry roads,false,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Crater lake
Forest elephants
Remote north
Overlander route",Lake Paradise Marsabit National Park Kenya,4000,3000,350,2000,1500,0,Bus Nairobi–Isiolo–Marsabit; 4x4 or park vehicle to lake.,"Bus KES 2,500+; park transfer shared.",Rough northern roads; 4x4 in rains.,Remote — carry water and fuel. Elephants in forest.,"Camp gear, cash, extra water.",Allow 3 days travel buffer from Nairobi.,,,,,,,,,,,,,,,,,,,,,,,,,Jungle lake in desert north,Distance deters weekend crowds,Forest elephant tracking,Lake rim clearing,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
hidden-gems,Ol Karia Geothermal Spa,ol-karia-spa,published,Natural hot pool in Hell's Gate geothermal field — soak after a gorge hike for almost nothing.,"Naivasha, Nakuru County",Nakuru,Rift Valley,Naivasha,92,2.5 hours,Year-round,true,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1200&q=75","Hot pool soak
Geothermal steam
Post-hike relax
Local fee",Ol Karia Geothermal Spa Naivasha Kenya,850,2500,300,0,700,400,"Matatu to Naivasha, boda to Ol Karia spa gate near geothermal plant road.",Matatu KES 350–400; boda KES 250.,Murram geothermal road.,Test water temperature; sulfur smell normal.,"Swimwear, towel, flip flops.",Pair with Hell's Gate same day ticket area.,,,,,,,,,,,,,,,,,,,,,,,,,Natural spa in Rift geothermal zone,Most do gorge only,Steam vents and warm pool,Steam against escarpment,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
hidden-gems,Lukenya Hills,lukenya-gem,published,Granite boulders and scout trails — climbing and scrambling an hour from Nairobi.,Machakos County,Machakos,Eastern,Athi River,35,1 hour,Dry season,true,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1200&q=75","Boulder fields
Climbing
Near Nairobi
Low fees",Lukenya Hills Kenya,400,0,300,0,500,800,"Matatu to Athi River/Kitengela, boda to Lukenya gate.",Matatu KES 100–200.,Rocky paths.,Climbing falls risk — helmet advised.,"Climbing shoes, water.",Weekend groups share transport online.,,,,,,,,,,,,,,,,,,,,,,,,,Accessible outdoor climbing,Not in standard tour brochures,Boulder circuits with locals,Summit granite slabs,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
hidden-gems,Mfangano Island,mfangano-island,published,Rock art and fishing villages on Lake Victoria — slow travel homestay island.,Homa Bay County,Homa Bay,Nyanza,Mbita,370,7 hours,Year-round,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Rock art sites
Fishing villages
Island bikes
Homestays",Mfangano Island Kenya,1700,2500,200,1000,800,500,"Bus to Mbita, ferry to Mfangano, boda to guesthouse.","Bus + ferry KES 1,500+.",Island footpaths and murram.,Lake travel daylight; life jackets on boats.,"Cash, torch, insect net.",Community tourism office arranges rock art guide.,,,,,,,,,,,,,,,,,,,,,,,,,Ancient rock art panels,Lake Victoria overlooked vs coast,Village homestay dinners,"Rock art caves, sunset pier",,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
hidden-gems,Lake Magadi Hot Springs,lake-magadi,published,Soda lake pink shores and natural hot springs at the Rift's southern edge — day trip from Nairobi.,Kajiado County,Kajiado,Rift Valley,Magadi,120,2.5 hours,Dry season,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Pink soda lake
Hot springs
Maasai landscape
Day trip",Lake Magadi Kenya,1200,3000,500,500,800,0,Matatu/bus towards Kiserian–Magadi road; company bus sometimes from town.,"Shared transport KES 800–1,200.",Rough magadi road; corrosive dust near lake.,Hot springs burn — test first. Sharp soda flats — wear shoes.,"Water, hat, old swimwear for springs.",Weekday trips avoid factory convoys.,,,,,,,,,,,,,,,,,,,,,,,,,Otherworldly soda shoreline,Industrial town masks tourism,Hot spring soak with Maasai guides,Pink lake edge,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
