id,title,duration,route,price,style,image,status,featured_on_home,featured_sort_order
nairobi-naivasha-budget,Nairobi Naivasha Budget Weekender,2 days,Nairobi → Hell's Gate → Lake Naivasha → Nairobi,"From KES 8,500 pp",Matatu + camp,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1600&q=80,live,true,1
rift-lakes-loop,Rift Lakes Budget Loop,3 days,Nairobi → Naivasha → Elementaita → Nakuru → Nairobi,"From KES 14,000 pp",Shared van + camp,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,live,true,2
coast-sgr-shoestring,Coast SGR Shoestring,4 days,Nairobi → Mombasa → Diani → Nairobi,"From KES 12,000 pp",SGR + hostel,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,live,true,3
nairobi-safari-day,Nairobi Skyline Safari Day,1 day,Nairobi → Nairobi National Park → Nairobi,"From KES 5,500 pp",Shared van,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,live,false,0
amboseli-budget-day,Amboseli Budget Day Trip,1 day,Nairobi → Amboseli → Nairobi,"From KES 7,500 pp",Shared safari van,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,live,false,0
mara-budget-camping,Mara Budget Camping Safari,3 days,Nairobi → Narok → Maasai Mara → Nairobi,"From KES 18,000 pp",Camp + shared van,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,live,true,4
western-kenya-lakes,Western Kenya Lakes Trail,4 days,Nairobi → Kisumu → Rusinga → Homa Bay → Nairobi,"From KES 16,000 pp",Bus + homestay,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,live,false,0
lamu-slow-travel,Lamu Slow Travel,5 days,Mombasa → Lamu Old Town → Shela → Mombasa,"From KES 22,000 pp",Bus + dhow,https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1600&q=80,live,false,0
mount-kenya-lenana-budget,Mount Kenya Lenana Budget Trek,4 days,Nairobi → Sirimon → Point Lenana → Nairobi,"From KES 28,000 pp",Trek + bandas,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1600&q=80,live,false,0
coast-north-malindi,Malindi Watamu Budget Coast,3 days,Mombasa → Malindi → Watamu → Mombasa,"From KES 9,500 pp",Bus + snorkel,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,live,false,0
tsavo-sgr-safari,Tsavo SGR Safari Stopover,2 days,Nairobi → Voi → Tsavo East → Mombasa,"From KES 11,000 pp",SGR + camp,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,live,false,0
central-highlands-tea,Central Highlands Tea & Trails,2 days,Nairobi → Tigoni → Nyeri → Nairobi,"From KES 9,000 pp",Matatu + cottage,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,live,false,0
northern-samburu-budget,Northern Samburu Budget Run,4 days,Nairobi → Isiolo → Archers Post → Maralal → Nairobi,"From KES 20,000 pp",Bus + camp,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1600&q=80,live,false,0
kakamega-forest-weekend,Kakamega Forest Weekend,3 days,Nairobi → Kakamega → Nairobi,"From KES 10,500 pp",Bus + guesthouse,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,live,false,0
elementaita-bogoria,Elementaita & Bogoria Geothermal,2 days,Nairobi → Elementaita → Bogoria → Nairobi,"From KES 8,000 pp",Matatu + camp,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,live,false,0
diani-shimba-hills,Diani Shimba Hills Add-on,3 days,Diani → Shimba Hills → Diani,"From KES 11,500 pp",Hostel + matatu,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,live,false,0
nairobi-staycation-trail,Nairobi Staycation Trail,2 days,Nairobi → Karen → Ngong → Nairobi,"From KES 7,500 pp",City staycation,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,live,false,0
kerio-valley-adventure,Kerio Valley Adventure,3 days,Nairobi → Iten → Kerio viewpoints → Nairobi,"From KES 13,500 pp",Bus + guesthouse,https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1600&q=80,live,false,0
magadi-hot-springs-day,Lake Magadi Hot Springs Day,1 day,Nairobi → Lake Magadi → Nairobi,"From KES 4,500 pp",Shared taxi,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,live,false,0
naivasha-family-weekend,Naivasha Family Budget Weekend,2 days,Nairobi → Crescent Island → Oloiden camp → Nairobi,"From KES 10,000 pp family",Matatu + camp,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,live,false,0
