id,categoryId,title,location,budget,description,image,map_query,slug,trail_id,status,sort_order
hiking-hells-gate,hiking,Hell's Gate Gorge,Naivasha,"From KES 4,950 day trip · KES 2,500/night","Canyon loop with geothermal steam
Easy matatu day trip from Nairobi
Bike hire at the gate
Combine with Lake Naivasha",https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=900&q=80,Hell's Gate National Park Kenya,hells-gate,,published,1
hiking-longonot,hiking,Mount Longonot Crater Rim,Naivasha,"From KES 1,850 day trip","Steep crater rim with Rift views
Start early to beat heat
Under KES 3,000 from Nairobi
KWS marked trail",https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=900&q=80,Mount Longonot National Park Kenya,longonot,longonot-trail,published,2
hiking-karura-forest,hiking,Karura Forest Trails,Nairobi,"From KES 1,000 day trip","Shaded city forest walks
Waterfall and caves on loop
Cheapest nature fix in Nairobi
Family friendly",https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=900&q=80,Karura Forest Nairobi Kenya,karura-forest,,published,3
hiking-ngong-hills,hiking,Ngong Hills,Ngong,"From KES 1,500 day trip","Ridge walk
City views
Community guides
Tip community guides KES 500+. Clear mornings best for photos.",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=900&q=80,Ngong Hills Kenya,ngong-hills,,published,4
hiking-mount-kenya-naromoru,hiking,Mount Kenya — Naromoru Route,Naro Moru,"From KES 12,200 day trip · KES 3,500/night","Point Lenana summit
Multi-day trek
Mountain bunkhouses
Budget 3–4 days for Lenana via Naromoru. Book bunkhouses ahead in peak season.",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=900&q=80,Mount Kenya Naromoru Gate Kenya,mount-kenya-naromoru,mt-kenya-naromoru,published,5
hiking-mount-kenya-sirimon,hiking,Mount Kenya — Sirimon Route,Nanyuki,"From KES 11,900 day trip · KES 3,500/night","Gradual ascent
Old Moses camp
Budget group treks
Sirimon is less steep than Naromoru — good first high-altitude trek.",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=900&q=80,Mount Kenya Sirimon Gate Kenya,mount-kenya-sirimon,mt-kenya-sirimon,published,6
hiking-menengai-crater,hiking,Menengai Crater,Nakuru,"From KES 1,700 day trip · KES 2,000/night","Caldera views
Short steep hike
Budget access
Combine with Lake Nakuru budget day if time allows.",https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=900&q=80,Menengai Crater Nakuru Kenya,menengai-crater,,published,7
hiking-kakamega-forest,hiking,Kakamega Forest Trails,Kakamega,"From KES 4,100 day trip · KES 2,500/night","Rainforest walks
Birding
Primate spotting
Stay in Kakamega town guesthouses for cheapest beds. Morning bird activity is best.",https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=900&q=80,Kakamega Forest National Reserve Kenya,kakamega-forest,,published,8
hiking-lake-chala,hiking,Lake Chala Crater Lake,Taveta,"From KES 4,100 day trip · KES 3,000/night","Crater lake swim
Border views
Steep descent
Camp overnight for sunset and early swim before day-trippers arrive.",https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=900&q=80,Lake Chala Kenya,lake-chala,,published,9
hiking-chyulu-hills,hiking,Chyulu Hills,Kibwezi,"From KES 4,550 day trip · KES 3,000/night","Hill traverses
Lava tubes
Open views
Combine with budget Amboseli side trip if sharing transport.",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=900&q=80,Chyulu Hills National Park Kenya,chyulu-hills,,published,10
hiking-elephant-hill,hiking,Elephant Hill (Aberdares),Nyeri,"From KES 3,750 day trip · KES 3,000/night","Moorland trek
Bamboo forest
Aberdare views
Start early; cloud often rolls in by afternoon.",https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=900&q=80,Elephant Hill Aberdare National Park Kenya,elephant-hill,,published,11
hiking-loroghi-hills,hiking,Loroghi Hills,Maralal,"From KES 5,000 day trip · KES 2,500/night","Northern Kenya views
Community guides
Low crowds
Pair with Maralal Camel Derby dates for cheapest shared transport.",https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=900&q=80,Loroghi Hills Maralal Kenya,loroghi-hills,,published,12
hiking-homa-hills,hiking,Homa Hills,Homa Bay,"From KES 2,700 day trip · KES 2,000/night","Lake Victoria views
Short hike
Budget lakeside base
Combine with Rusinga or Mfangano island trips on a lakeside budget loop.",https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=900&q=80,Homa Hills Homa Bay Kenya,homa-hills,,published,13
hiking-lukenya-hills,hiking,Lukenya Hills,Athi River,"From KES 2,000 day trip","Boulder scrambling
Climbing routes
Close to Nairobi
Join weekend climbing groups to split transport from Nairobi.",https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=900&q=80,Lukenya Hills Kenya,lukenya-hills,,published,14
hiking-mount-ololokwe,hiking,Mount Ololokwe,Archers Post,"From KES 7,200 day trip · KES 2,000/night","Plateau camp
Sunrise views
Samburu landscape
Budget overnight: camp on plateau, descend next morning.",https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=900&q=80,Mount Ololokwe Kenya,mount-ololokwe,,published,15
