category,title,slug,status,description,location,county,region,nearest_town,distance_from_nairobi_km,travel_time_from_nairobi,best_time_to_visit,family_friendly,image,gallery,highlights,map_query,budget_transport,budget_accommodation,budget_entry_fee,budget_guide_fee,budget_food,budget_activity,directions,public_transport,road_conditions,safety_and_conditions,what_to_carry,travel_tips,difficulty,trail_length,elevation_gain,hiking_duration,fitness_level,packing_list,trail_information,waterfall_height,swimming_allowed,best_season,nearby_attractions,facilities,security_rating,tent_rental,fire_pit,washrooms,showers,parking,electricity,wildlife_highlights,animals_seen,game_drives,safari_tips,viewing_season,why_special,why_hidden,unique_experiences,photo_spots,beach_activities,swimming,snorkeling,diving,nearby_restaurants,nearby_hotels,accommodation_type,amenities,wifi,pool,restaurant,bonfire,pet_friendly,ideal_for,event_date,event_time,venue,ticket_price,ticket_link,organizer,event_description,featured_on_home,featured_sort_order,trending_on_home,trending_tag,trending_sort_order
wildlife,Nairobi National Park,nairobi-national-park,published,"Skyline safari minutes from the CBD — lions, rhinos, and giraffes with budget shared van tours.",Nairobi County,Nairobi,Nairobi,Nairobi,10,30 min to gate,Dry season Jul–Oct,true,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=75","City skyline safari
Black rhino
Budget shared tours
Half-day trip",Nairobi National Park Kenya,500,0,500,0,600,3500,Meet shared tour vans at KWS headquarters or arrange pick-up; matatu to gate possible with taxi last mile.,"Taxi/boda to gate KES 500; shared van tour KES 3,500 pp typical.",Good tarmac to gate; park tracks dusty.,Do not exit vehicle except at designated areas. Early entry beats traffic.,"Binoculars, hat, snacks, camera.",Join 6am shared van to split costs — book via hostel or Facebook groups.,,,,,,,,,,,,,,,,,,,,"Rhino, lion, giraffe, buffalo","Lion, rhino, giraffe, zebra, ostrich","Shared vans KES 3,500–5,000 pp half-day",Arrive at 6am opening,Jul–Oct dry season,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,true,Wildlife,1
wildlife,Lake Nakuru National Park,lake-nakuru,published,"Compact park famous for rhinos, flamingos, and escarpment viewpoints — ideal budget day safari from Nairobi.","Nakuru, Nakuru County",Nakuru,Rift Valley,Nakuru,160,2.5 hours,Year-round rhinos; birds best after rains,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Rhino sanctuary
Flamingo shores
Compact drives
Day trip friendly",Lake Nakuru National Park Kenya,800,2500,500,0,700,3000,"Bus/matatu to Nakuru, join shared safari van or rent taxi for park loop.","Bus KES 400–600; shared van KES 3,000 pp.",Tarmac to Nakuru; park roads good.,Baboons at picnic sites — lock vehicles.,"Binoculars, picnic, camera.",Flamingo numbers vary with water — rhinos reliable year-round.,,,,,,,,,,,,,,,,,,,,"White rhino, flamingo, leopard occasionally","Rhino, buffalo, zebra, pelican",Self-drive or shared van,Baboon Hill viewpoint at sunset,Year-round,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,false,,0
wildlife,Amboseli National Park,amboseli,published,Elephant herds beneath Kilimanjaro on a budget shared day trip from Nairobi.,Kajiado County,Kajiado,Rift Valley,Kimana,230,4–5 hours,Jun–Oct clear Kilimanjaro views,true,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=75","Elephant herds
Kilimanjaro views
Wetland birds
Shared van day trips",Amboseli National Park Kenya,1500,3500,500,0,800,4000,Budget operators run shared vans from Nairobi CBD overnight or 5am departure.,"Shared van day trip KES 5,500–8,000 pp from Nairobi incl. park fee.",Mombasa Road then Emali turnoff; park roads dusty.,Strong sun — hat and water. Stay in vehicle except viewpoints.,"Sun protection, binoculars, cash for tips.",Clear mornings best for Kilimanjaro photos — Jun–Oct.,,,,,,,,,,,,,,,,,,,,"Elephants, Kilimanjaro backdrop","Elephant, buffalo, hippo, zebra",Shared full-day vans from Nairobi,Start drives at 6:30am,Jun–Oct,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
wildlife,Tsavo East National Park,tsavo-east,published,Vast red-earth wilderness on the Nairobi–Mombasa corridor — budget camping and self-drive options.,Taita-Taveta County,Taita-Taveta,Coast,Voi,330,5 hours,Jun–Oct wildlife at waterholes,true,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=75","Red elephants
Vast wilderness
SGR access via Voi
Budget camps",Tsavo East National Park Kenya,1200,3000,500,0,1000,0,SGR to Voi or bus Nairobi–Mombasa drop Voi; hire taxi to Manyani or Voi gate.,"SGR Voi KES 1,000; taxi to gate KES 1,500 shared.",Murram park roads; 4x4 helpful in wet season.,Large park — plan fuel and water. Wildlife on roads.,"Self-drive papers, water, camping gear if staying.",Aruba Dam area good for dry-season elephant viewing.,,,,,,,,,,,,,,,,,,,,"Red elephants, lion, kudu","Elephant, lion, giraffe, buffalo",Self-drive or camp-organized,Enter via Voi if coming by SGR,Jun–Oct,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
wildlife,Haller Park,haller-park,published,Former quarry turned wildlife sanctuary in Mombasa — feeding walks and budget family afternoon.,Mombasa County,Mombasa,Coast,Mombasa,480,SGR 5 hours,Year-round afternoons,true,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=75","Hippo feeding
City sanctuary
Cycling paths
Family budget",Haller Park Mombasa Kenya,1500,3000,400,0,600,500,"SGR to Mombasa Terminus, matatu/tuk-tuk to Bamburi Haller Park.","SGR KES 1,000–1,500; tuk-tuk KES 200–400.",Paved inside park.,Follow ranger times for hippo/croc feeding.,"Camera, water, sun hat.",4pm feeding session most popular — arrive early.,,,,,,,,,,,,,,,,,,,,"Hippo, crocodile, giraffe walk","Hippo, croc, tortoise, antelope",Walking paths only,Check feeding schedule online,Year-round,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
wildlife,Crescent Island,crescent-island,published,Walk among zebras and giraffes on a private island in Lake Naivasha — budget boat plus park fee.,"Naivasha, Nakuru County",Nakuru,Rift Valley,Naivasha,90,2.5 hours,Year-round,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Walking safari
Boat ride
Giraffe close-ups
Half-day trip",Crescent Island Lake Naivasha Kenya,800,2500,1500,0,800,1500,"Matatu to Naivasha, boat from waterfront to island — negotiate at jetty.","Matatu KES 350–400; boat+entry package KES 2,500–3,500.",Lake calm mornings best for boats.,Walk only on designated paths; animals wild.,"Sun hat, water, camera.",Combine with Hell's Gate same weekend.,,,,,,,,,,,,,,,,,,,,Walking with giraffe and zebra,"Giraffe, zebra, wildebeest, hippo nearby",Walking only,Morning boat smoother,Year-round,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
wildlife,Shimba Hills National Reserve,shimba-hills,published,Coastal rainforest reserve with sable antelope and elephants — budget day trip from Mombasa/Diani.,Kwale County,Kwale,Coast,Kwale,450,8 hours from Nairobi,Dry season,true,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Sable antelope
Coastal forest
Sheldrick Falls hike
Budget day safari",Shimba Hills National Reserve Kenya,2200,3000,350,1000,800,0,"Bus from Mombasa to Kwale, taxi to gate; or matatu from Diani area.",Coast bus KES 200–400; taxi KES 800.,Murram in reserve.,Elephants on trails — keep distance.,"Repellent, hiking shoes, camera.",Sheldrick Falls trail inside park same ticket day.,,,,,,,,,,,,,,,,,,,,"Sable antelope, forest elephants","Elephant, sable, buffalo, monkey",KWS vehicle or guided walk,Start early for elephant on roads,Jun–Sep,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
wildlife,Saiwa Swamp National Park,saiwa-swamp,published,Tiny park home to the endangered sitatunga — budget birding and boardwalks in western Kenya.,Trans Nzoia County,Trans Nzoia,Rift Valley,Kitale,380,6–7 hours,Year-round,true,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Sitatunga antelope
Boardwalks
Birding
Low park fees",Saiwa Swamp National Park Kenya,1600,2000,300,800,600,0,"Bus to Kitale, boda/matatu to Saiwa gate.","Bus KES 1,200–1,600; local transport KES 200.",Murram to gate; boardwalks good.,Quiet park — travel daylight.,"Binoculars, rain jacket.",Dawn best for sitatunga on swamp edge.,,,,,,,,,,,,,,,,,,,,"Sitatunga, De Brazza monkey","Sitatunga, otter, kingfisher",Walking boardwalks only,Hire KWS guide at gate,Year-round,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
wildlife,Lake Bogoria Flamingos,bogoria-wildlife,published,Geothermal lake with flamingo flocks and hot springs — budget day from Nakuru.,Baringo County,Baringo,Rift Valley,Marigat,220,4 hours,Year-round flamingos; peaks vary,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Flamingo flocks
Hot springs
Geothermal steam
Budget day trip",Lake Bogoria National Reserve Kenya,1100,2000,350,0,700,0,"Matatu Nakuru–Kabarnet route drop Marigat, boda to Loboi gate.",Bus/matatu KES 500–800.,Murram loop road in reserve.,Hot springs extremely hot — caution. Stay in vehicle near cliffs.,"Camera, hat, water.",Morning light for pink shoreline photos.,,,,,,,,,,,,,,,,,,,,"Lesser flamingo, kudu","Flamingo, zebra, gazelle",Self-drive loop,Combine with Baringo boat optional,Year-round,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
wildlife,Maasai Mara — Budget Gate,maasai-mara,published,Iconic Mara wildlife on a budget camping safari — shared vans and public access via Narok.,Narok County,Narok,Rift Valley,Narok,270,5–6 hours,Jul–Oct migration; Jan–Mar cats,true,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=75","Big cats
Migration season
Budget camps
Shared safaris",Maasai Mara National Reserve Kenya,2000,4000,2000,0,1500,5000,Matatu/bus Nairobi–Narok–Talek/Sekenani gate; join budget camp safari package.,"Bus to Narok KES 500–800; shared safari van KES 5,000/day pp.",Murram in reserve; 4x4 needed in wet season.,Migration crowds Jul–Aug — book camps early. Respect Maasai land fees.,"Warm layers, binoculars, cash for tips.","Budget 3-day/2-night packages from Narok town start ~KES 18,000 pp.",,,,,,,,,,,,,,,,,,,,"Lion, cheetah, migration crossings","Lion, wildebeest, elephant, hippo",Shared camp vans,Talek gate for budget camps,Jul–Oct migration,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,true,Wildlife,2
