category,title,slug,status,description,location,county,region,nearest_town,distance_from_nairobi_km,travel_time_from_nairobi,best_time_to_visit,family_friendly,image,gallery,highlights,map_query,budget_transport,budget_accommodation,budget_entry_fee,budget_guide_fee,budget_food,budget_activity,directions,public_transport,road_conditions,safety_and_conditions,what_to_carry,travel_tips,difficulty,trail_length,elevation_gain,hiking_duration,fitness_level,packing_list,trail_information,waterfall_height,swimming_allowed,best_season,nearby_attractions,facilities,security_rating,tent_rental,fire_pit,washrooms,showers,parking,electricity,wildlife_highlights,animals_seen,game_drives,safari_tips,viewing_season,why_special,why_hidden,unique_experiences,photo_spots,beach_activities,swimming,snorkeling,diving,nearby_restaurants,nearby_hotels,accommodation_type,amenities,wifi,pool,restaurant,bonfire,pet_friendly,ideal_for,event_date,event_time,venue,ticket_price,ticket_link,organizer,event_description,featured_on_home,featured_sort_order,trending_on_home,trending_tag,trending_sort_order
events,Lamu Cultural Festival,lamu-cultural-festival,published,"Annual Swahili celebration with dhow races, poetry, and night markets in Lamu Old Town.",Lamu County,Lamu,Coast,Lamu,500,Bus + boat,November,true,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=75","Dhow races
Swahili poetry
Night markets
Street processions",Lamu Cultural Festival Kenya,3500,4000,0,0,1500,0,Plan bus/boat early; festival fills guesthouses.,Book transport weeks ahead; fares spike.,Crowded alleys; boats busy.,Cash for street food; respect local customs.,"Light clothing, cash, dry bag.",Free street events; paid dhow races vary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21–24 Nov 2026,All day,Lamu Old Town waterfront,Free street events; dhow seats from KES 500,,Lamu County & local committee,"Dhow races, donkey races, Swahili poetry, and food stalls.",true,1,false,,0
events,Nairobi Night Market,nairobi-night-market,published,Monthly street food and makers market in Westlands — pay-as-you-go budget evening out.,Nairobi County,Nairobi,Nairobi,Nairobi,8,30 min,Monthly Fridays,true,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=75","Street food
Live DJs
Local makers
Pay as you go",Westlands Nairobi night market Kenya,200,0,0,0,1000,500,Matatu or ride-hail to Westlands venue.,Matatu KES 50–100.,Urban venue.,Standard city safety at night.,"Cash and M-Pesa, light jacket.",Arrive early for shorter food lines.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Friday monthly,18:00–23:00,Westlands parking lots,Free entry; food from KES 200,,Nairobi Night Market collective,"Food stalls, DJs, and artisan vendors.",false,0,false,,0
events,Rift Valley Acoustic Sessions,rift-acoustic,published,Lake Naivasha waterfront acoustic sets and campfire stories — budget weekend tickets.,"Naivasha, Nakuru County",Nakuru,Rift Valley,Naivasha,90,2.5 hours,Dry season Saturdays,true,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=75","Lakefront music
Campfire
Local artists
Budget entry",Lake Naivasha acoustic sessions Kenya,800,2500,500,0,800,0,"Matatu to Naivasha, boda to lakeside camp venue.",Matatu KES 350–400.,Murram lakeside.,Lake shore at night — stay in designated venue.,"Blanket, torch, warm layer.",Bring camp chair if you have one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selected Saturdays Jun–Sep,17:00–22:00,Lake Naivasha lakeside camp,From KES 500,,Rift Valley arts collectives,"Acoustic sets, poetry, and campfire storytelling.",false,0,false,,0
events,Mara Community Run,mara-community-run,published,Conservation run near Maasai Mara gateway with local guides — fees support schools.,Narok County,Narok,Rift Valley,Talek,270,5–6 hours,July,true,https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=75","Conservation run
Community guides
School fundraiser
Mara gateway",Maasai Mara community run Kenya,2000,3500,1000,0,800,0,Bus to Narok/Talek; register online or at gate.,Bus KES 500–800.,Murram Mara roads.,Early start; sun protection.,"Running shoes, hat, water.",Combine with budget camp safari same weekend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 Jul 2026,06:30 start,Talek Mara gateway,"From KES 1,000 registration",,Mara community trusts,5K/10K routes with Maasai guides; proceeds to schools.,false,0,false,,0
events,Koroga Festival Nairobi,koroga-festival,published,Afro-fusion food and music festival — early-bird tickets keep costs reasonable.,Nairobi County,Nairobi,Nairobi,Nairobi,12,45 min,April and October editions,true,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=75","Live music
Food vendors
City festival
Early-bird tickets",Koroga Festival Nairobi Kenya,400,0,2500,0,1500,0,Ride-hail or matatu to venue (varies per edition).,Uber/boda KES 300–600.,Venue grass fields.,Crowds and loud music — ear protection optional.,"Ticket QR, cash for food, power bank.","Buy early-bird online to save KES 1,000+.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 Apr 2026,12:00–22:00,Carnivore grounds Nairobi,"From KES 2,500 early bird",https://korogafestival.com,Koroga Festival,"Afro-fusion music, food stalls, and art.",false,0,false,,0
events,Lamu Yoga Festival,lamu-yoga-festival,published,Beach and rooftop yoga sessions across Lamu — community classes and dhow sunsets.,Lamu County,Lamu,Coast,Lamu,500,Bus + boat,March,true,https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1544551763-77aef23d0ce3?auto=format&fit=crop&w=1200&q=75","Beach yoga
Dhow sunsets
Wellness on budget
Community classes",Lamu Yoga Festival Kenya,3500,4000,3000,0,1200,0,Same access as Lamu; book guesthouse early.,"Bus + boat KES 3,000+.",Island foot traffic only.,Heat and sun — hydrate.,"Yoga mat, sunscreen, modest cover-up.",Day-pass classes cheaper than full festival pass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6–8 Mar 2026,06:00–18:00,Shela & Lamu town venues,"Day pass from KES 3,000",,Lamu Yoga Festival,"Open-air yoga, meditation, and dhow sunset sails.",false,0,false,,0
events,Lake Turkana Festival,turkana-festival,published,Northern cultural festival celebrating Lake Turkana communities — remote but unforgettable.,Marsabit County,Marsabit,Northern,Loiyangalani,600,12+ hours,June,false,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=75","Northern cultures
Lake Turkana
Traditional dance
Overland adventure",Lake Turkana Festival Kenya,5000,3500,1000,0,1500,0,Convoy or bus packages from Nairobi; rough roads.,"Festival tour packages KES 15,000+ from Nairobi.",Remote desert roads — 4x4 convoys.,Extreme heat; carry water.,"Sun protection, dust mask, cash.",Join group overland to split costs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–20 Jun 2026,All day,Loiyangalani lakeshore,"From KES 1,000",,National Museums of Kenya,"Traditional music, boat regattas, and cultural pavilions.",false,0,false,,0
events,Maralal Camel Derby,maralal-camel-derby,published,World-famous camel races in Samburu — camping and festivities on a northern Kenya budget trip.,Samburu County,Samburu,Northern,Maralal,300,6 hours,August,true,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=75","Camel races
Northern festival
Camping
Samburu culture",Maralal Camel Derby Kenya,2500,2500,500,0,1000,0,Bus to Maralal; camp in town fields.,"Bus KES 1,500–2,500.",Murram northern roads.,Large crowds; secure camp valuables.,"Tent, warm layer, cash.",Camp early for good spots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22–24 Aug 2026,10:00–17:00 races,Maralal town racecourse,From KES 500,,Maralal Camel Derby committee,"Camel races, cycling races, and cultural shows.",false,0,false,,0
events,Diani Beach Reggae Sundowner,diani-reggae-sundowner,published,Free sunset reggae on the sand with local food vendors — monthly coast gathering.,Kwale County,Kwale,Coast,Diani,480,SGR 5 hours,Monthly Sundays,true,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=1200&q=75","Sunset reggae
Beach vibes
Free entry
Street food",Diani Beach reggae sundowner Kenya,1800,2500,0,0,800,0,"SGR to Mombasa, matatu/tuk-tuk to Diani beach strip.","SGR + tuk-tuk KES 1,800 approx.",Beach access paths.,Standard beach safety at dusk.,"Beach mat, cash for food.",Starts one hour before sunset.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Last Sunday monthly,16:00–20:00,Diani public beach,Free entry,,Diani beach collectives,"DJ sets, drum circles, and beach food stalls.",false,0,false,,0
events,Nairobi Cycling Festival,nairobi-cycling-festival,published,"Karura Forest loops, repair workshops, and budget gear swaps — family-friendly city event.",Nairobi County,Nairobi,Nairobi,Nairobi,12,30 min,March,true,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Forest loops
Repair workshops
Gear swap
Family rides",Karura Forest cycling festival Kenya,200,0,800,0,600,0,Matatu to Karura gates; festival signage on event day.,Matatu KES 50–100.,Forest trails.,Wear helmet; obey trail markers.,"Helmet, water, basic repair kit.",Register online for free workshop slots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 Mar 2026,07:00–14:00,Karura Forest Sigiria gate,From KES 800,,Nairobi cycling clubs,"Guided loops, bike repair clinics, and gear swap stalls.",false,0,false,,0
