itinerary_id,day_order,day_label,title,details
nairobi-naivasha-budget,1,Day 1,Matatu to Naivasha,"Early matatu from Accra Road, boda to Hell's Gate. Gorge hike and bike loop. Camp or budget banda."
nairobi-naivasha-budget,2,Day 2,Lake morning,Boat or shore walk at Lake Naivasha. Matatu back to Nairobi by afternoon.
rift-lakes-loop,1,Day 1,Naivasha,Hell's Gate or Crescent Island walking safari. Camp Oloiden or Elementaita.
rift-lakes-loop,2,Day 2,Elementaita to Nakuru,Flamingo shoreline morning. Shared taxi to Nakuru rhino drive afternoon.
rift-lakes-loop,3,Day 3,Menengai & return,Menengai crater viewpoint. Bus back to Nairobi.
coast-sgr-shoestring,1,Day 1,SGR to Mombasa,"Morning SGR economy seat. Tuk-tuk to ferry, matatu to Diani hostel."
coast-sgr-shoestring,2,Day 2,Diani beach,"Public beach, street food, optional snorkel hire."
coast-sgr-shoestring,3,Day 3,Tiwi or Shimoni,Matatu to quieter Tiwi reef or budget dolphin trip.
coast-sgr-shoestring,4,Day 4,Return,Matatu to SGR terminus; afternoon train to Nairobi.
nairobi-safari-day,1,Day 1,Dawn game drive,"Join 6am shared van. Rhino, lion, giraffe with city skyline. Back by lunch."
amboseli-budget-day,1,Day 1,Elephants & Kilimanjaro,Pre-dawn departure. Full-day shared van with park fees and lunch box.
mara-budget-camping,1,Day 1,To the Mara,"Bus to Narok, join budget camp transfer. Afternoon game drive."
mara-budget-camping,2,Day 2,Full safari day,Dawn and dusk drives for cats and migration (seasonal). Campfire.
mara-budget-camping,3,Day 3,Morning drive out,Short morning loop. Bus back via Narok.
western-kenya-lakes,1,Day 1,To Kisumu,Night or day bus. Lakeside guesthouse sunset.
western-kenya-lakes,2,Day 2,Kit Mikayi,Matatu to Kit Mikayi rock. Return Kisumu fish market dinner.
western-kenya-lakes,3,Day 3,Rusinga Island,"Ferry to island homestay, village walk."
western-kenya-lakes,4,Day 4,Homa Bay & return,"Morning boat, bus back to Nairobi."
lamu-slow-travel,1,Day 1,To Lamu,"Bus to Mokowe, dhow to old town guesthouse."
lamu-slow-travel,2,Day 2,Old town lanes,"Fort, markets, rooftop sunset."
lamu-slow-travel,3,Day 3,Shela beach,Dhow to Shela dunes and swim.
lamu-slow-travel,4,Day 4,Dhow day,Mangrove channel or sandbank picnic.
lamu-slow-travel,5,Day 5,Return coast,Boat and bus back.
mount-kenya-lenana-budget,1,Day 1,To Sirimon,"Bus to Nanyuki, gate registration, Old Moses camp."
mount-kenya-lenana-budget,2,Day 2,Acclimatize,Short hike to moorland. Sleep Shipton camp.
mount-kenya-lenana-budget,3,Day 3,Summit Lenana,Pre-dawn push to Point Lenana. Descend to bandas.
mount-kenya-lenana-budget,4,Day 4,Exit,"Trek to gate, matatu to Nairobi."
coast-north-malindi,1,Day 1,Malindi,"Bus up coast. Beach sunset, seafood market."
coast-north-malindi,2,Day 2,Watamu snorkel,Jetty boat to reef. Gede ruins stop.
coast-north-malindi,3,Day 3,Return,"Morning beach, bus to Mombasa."
tsavo-sgr-safari,1,Day 1,SGR to Voi,Morning train. Afternoon taxi safari loop Aruba Dam.
tsavo-sgr-safari,2,Day 2,To the coast,Dawn drive exit. Bus or SGR on to Mombasa.
central-highlands-tea,1,Day 1,Tigoni,Tea walk and cottage stay. Limuru market supplies.
central-highlands-tea,2,Day 2,Nyeri viewpoint,"Matatu to Nyeri, Zaina or town market. Return Nairobi."
northern-samburu-budget,1,Day 1,To Isiolo,"Bus north, overnight basic lodge."
northern-samburu-budget,2,Day 2,Ololokwe,Shared taxi to Archers Post. Guided Ololokwe ascent camp.
northern-samburu-budget,3,Day 3,Descend & Maralal,Morning descent. Bus to Maralal.
northern-samburu-budget,4,Day 4,Return,Bus back to Nairobi via Isiolo.
kakamega-forest-weekend,1,Day 1,To Kakamega,Day bus. Guesthouse check-in.
kakamega-forest-weekend,2,Day 2,Forest guides,Dawn birding walk with KWS guide. Second loop afternoon.
kakamega-forest-weekend,3,Day 3,Return,"Morning market, bus to Nairobi."
elementaita-bogoria,1,Day 1,Elementaita,Community camp flamingo sunset.
elementaita-bogoria,2,Day 2,Bogoria,Morning matatu to hot springs and flamingo loop. Return Nairobi.
diani-shimba-hills,1,Day 1,Diani base,"Hostel check-in, beach afternoon."
diani-shimba-hills,2,Day 2,Shimba Hills,Matatu to reserve. Sheldrick Falls hike and elephant drive.
diani-shimba-hills,3,Day 3,Reef morning,Optional snorkel. Evening tuk-tuk food crawl.
nairobi-staycation-trail,1,Day 1,Karen & Karura,B&B check-in. Karura waterfall loop.
nairobi-staycation-trail,2,Day 2,Ngong Hills,Morning ridge hike. Brunch return to city.
kerio-valley-adventure,1,Day 1,To Iten,Bus via Eldoret. Guesthouse on escarpment.
kerio-valley-adventure,2,Day 2,Valley day,Viewpoints and optional Koromosho guided hike.
kerio-valley-adventure,3,Day 3,Return,Morning run viewpoint. Bus to Nairobi.
magadi-hot-springs-day,1,Day 1,Soda lake & springs,Shared taxi from Kiserian. Hot spring soak and pink shoreline photos.
naivasha-family-weekend,1,Day 1,Walking safari,Crescent Island boat and walk. Camp Oloiden.
naivasha-family-weekend,2,Day 2,Shore morning,Birding and hippo lookout. Matatu home.
