category,title,slug,status,description,location,county,region,nearest_town,distance_from_nairobi_km,travel_time_from_nairobi,best_time_to_visit,family_friendly,image,gallery,highlights,map_query,budget_transport,budget_accommodation,budget_entry_fee,budget_guide_fee,budget_food,budget_activity,directions,public_transport,road_conditions,safety_and_conditions,what_to_carry,travel_tips,difficulty,trail_length,elevation_gain,hiking_duration,fitness_level,packing_list,trail_information,waterfall_height,swimming_allowed,best_season,nearby_attractions,facilities,security_rating,tent_rental,fire_pit,washrooms,showers,parking,electricity,wildlife_highlights,animals_seen,game_drives,safari_tips,viewing_season,why_special,why_hidden,unique_experiences,photo_spots,beach_activities,swimming,snorkeling,diving,nearby_restaurants,nearby_hotels,accommodation_type,amenities,wifi,pool,restaurant,bonfire,pet_friendly,ideal_for,event_date,event_time,venue,ticket_price,ticket_link,organizer,event_description,featured_on_home,featured_sort_order,trending_on_home,trending_tag,trending_sort_order
camping,Hell's Gate Campsites,hells-gate-camping,published,"Public KWS campsites near the gorge — budget tents, stars, and morning bike rides before day-trippers arrive.","Naivasha, Nakuru County",Nakuru,Rift Valley,Naivasha,90,2.5 hours,Dry season,true,https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1200&q=75","KWS public camp
Bike mornings
Gorge access
Matatu reachable",Hell's Gate National Park camping Kenya,800,1500,350,0,1000,1500,Same as Hell's Gate day access; request campsite at Elsa Gate.,Matatu Nairobi–Naivasha; boda to gate.,Murram near gate; fine for camping vehicles.,Wildlife in camp — store food securely. Baboons active.,"Tent, sleeping bag, cooking kit, warm layer.","Rent tent near Naivasha town if needed — KES 800–1,500/night.",,,,,,,,,,,,"Basic KWS bandas, pit toilets, fire rings",Good with KWS rangers,Available in Naivasha town,Yes — designated,Shared pit latrines,Cold only,Free at gate,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Lake Elementaita Community Camp,elementaita-camp,published,Lakeside community campsite with flamingo views — quieter and cheaper than Naivasha waterfront lodges.,"Elementaita, Nakuru County",Nakuru,Rift Valley,Elementaita,120,2.5 hours,Year-round,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Flamingo views
Community camp
Stargazing
Budget lakeside",Lake Elementaita camping Kenya,900,1800,0,0,1000,500,"Matatu to Naivasha or Gilgil, boda/taxi to Elementaita shoreline camps.",Matatu KES 350–450; local taxi KES 500.,Murram lakeside tracks.,Hippo and buffalo near shore at night — camp in designated areas.,"Tent, warm layer, mosquito net.",Ask camp host for latest flamingo viewing spots.,,,,,,,,,,,,"Shade, basic kitchen, fire pit",Fair — use host,Sometimes available,Yes,Shared,Cold,Free,Generator hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Kedong Ranch Camp,kedong-ranch-camp,published,Open grassland camping popular with cyclists and overlanders between Naivasha and Mai Mahiu.,"Naivasha, Nakuru County",Nakuru,Rift Valley,Naivasha,85,2 hours,Dry season,true,https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1200&q=75","Open plains
Cyclist friendly
Group camping
Low fees",Kedong Ranch Naivasha Kenya,750,1200,200,0,800,0,"Matatu towards Mai Mahiu, drop at Kedong Ranch sign; short walk in.",Matatu KES 300–400.,Murram access road.,Open exposed site — secure tent in wind. No shade midday.,"Tent pegs, sun shade, plenty of water.",Popular weekends — arrive Friday to secure spot.,,,,,,,,,,,,"Open field, basic toilet",Fair,Bring your own,Yes,Basic,No,Free,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Oloiden Campsite,oloiden-camp,published,Quiet crescent lake off Lake Naivasha — budget camping and hippo spotting without park fees.,"Naivasha, Nakuru County",Nakuru,Rift Valley,Naivasha,95,2.5 hours,Year-round,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Hippo lagoon
Birding
Budget camp
Kayak option",Lake Oloiden camping Kenya,850,2000,0,0,1000,1000,"Matatu to Naivasha, boda along south lake road to Oloiden camps.",Matatu + boda KES 500 total.,Murram lake road.,Hippos at night — do not walk shore in dark.,"Torch, insect repellent, tent.","Kayak hire KES 1,000/hr negotiable.",,,,,,,,,,,,"Lake access, fire pit, toilets",Good with camp host,On request,Yes,Shared,Cold,Free,Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Camp Ndunda Falls,ndunda-camp,published,Riverside camp near Ndunda Falls in Embu — forest shade and waterfall swim on a budget eastern route.,Embu County,Embu,Eastern,Embu,130,2.5 hours,Rainy season for falls,true,https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1504851149312-7a075b496cc7?auto=format&fit=crop&w=1200&q=75","Waterfall swim
Riverside tents
Forest shade
Embu gateway",Ndunda Falls Embu Kenya,800,1500,200,500,800,0,"Matatu Nairobi–Embu, taxi to Ndunda Falls camp.",Matatu KES 400–600; taxi KES 800 shared.,Murram to camp.,Slippery rocks at falls; supervise swimming.,"Swimwear, tent, repellent.",Weekends busy with Nairobi campers — book ahead.,,,,,,,,,,,,"River access, braai area",Good,Available,Yes,Shared,Cold river,Free,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Lake Bogoria Public Campsite,bogoria-camp,published,Geothermal lakeshore camping with flamingos and hot springs — budget alternative to lodge stays.,Baringo County,Baringo,Rift Valley,Marigat,220,4 hours,Year-round,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Hot springs
Flamingos
KWS camp
Stargazing",Lake Bogoria National Reserve camping Kenya,1200,1500,350,0,1000,0,"Bus to Nakuru or Kabarnet route, matatu to Loboi gate.","Bus + matatu KES 800–1,200.",Murram inside reserve.,Hot springs burn — test water. Baboons near camp.,"Tent, warm layer, swim sandals for springs.",Morning flamingo viewing best before wind picks up.,,,,,,,,,,,,"KWS campsite, picnic tables",Good,Bring own,Designated,Basic,No,Free,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Mount Kenya Bandas — Sirimon,sirimon-bandas,published,Basic mountain bandas at Sirimon gate — start Lenana trek without expensive lodge rates.,"Nanyuki, Laikipia County",Laikipia,Central,Nanyuki,195,3.5 hours,"Jan–Mar, Jul–Oct",false,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?auto=format&fit=crop&w=1200&q=75","Trek start point
Mountain bandas
Budget overnight
Guide hub",Sirimon Gate Mount Kenya bandas Kenya,1400,2500,2500,6000,2000,0,"Bus to Nanyuki, taxi to Sirimon gate bandas.",Bus KES 500–700; gate taxi shared.,Murram to gate.,Altitude and cold — prepare gear.,"Sleeping bag, warm clothes, trek food.",Book bandas via KWS when registering trek.,,,,,,,,,,,,"KWS bandas, ranger station",Excellent,N/A — bandas,No,Shared,Cold,Free,Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Oloolua Nature Trail Camp,oloolua-camp,published,Forest campsite in Nairobi's southern green belt — cheapest overnight nature fix inside the city counties.,"Karen, Nairobi County",Nairobi,Nairobi,Karen,15,45 min,Year-round,true,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Forest camp
Nature trail
Near Nairobi
Youth-friendly",Oloolua Nature Trail Nairobi Kenya,250,1200,400,0,600,0,"Matatu/boda to Karen, enter Oloolua forest gate.",Matatu KES 80–150.,Forest paths.,Secure food from monkeys.,"Tent, insect repellent.",Book camp spot at gate on arrival.,,,,,,,,,,,,"Designated camp, toilets",Good,Limited,On request,Shared,No,Limited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Kijabe Forest Camp,kijabe-camp,published,Escarpment forest camp on the Rift edge — cool air and pine trails an hour from Nairobi.,"Kijabe, Kiambu County",Kiambu,Rift Valley,Kijabe,60,1.5 hours,Year-round,true,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=75","Escarpment views
Cool climate
Forest trails
Budget camp",Kijabe Forest Kenya,400,1500,200,0,700,0,"Matatu Nairobi–Naivasha route, drop Kijabe, walk to forest camp.",Matatu KES 150–250.,Murram forest roads.,Cold nights — pack warm sleeping bag.,"Warm layer, tent, headlamp.",Combine with Rift viewpoint day hike.,,,,,,,,,,,,"Basic camp, toilets",Fair,Bring own,Yes,Shared,No,Limited,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
camping,Lake Chala Camp,lake-chala-camp,published,Crater lake camp with turquoise water — budget tents and swim after the descent trail.,"Taveta, Taita-Taveta County",Taita-Taveta,Coast,Taveta,360,6 hours,Dry season,true,https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1600&q=80,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=80
https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&w=1200&q=75","Crater swim
Border views
Budget tents
Adventure camp",Lake Chala Camp Kenya,1800,2500,500,1000,1000,0,"Bus to Taveta, camp operator pickup or boda to lake.","Bus segments KES 1,500+.",Murram; steep trail to lake.,Steep descent with gear — porter optional.,"Tent, swim gear, water.",Camp fee often includes guide for descent.,,,,,,,,,,,,"Tent pitches, basic toilet",Good,Available on site,Yes,Basic,Cold,Free,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,false,,0
